time,body_angle,stroke,spm,power,distance,pace,calories,state
1782511290.017198,3.37485320465926,0,0.0,0.0,0.0,0.0,0.0,READY
1782511290.078536,3.4788950874158746,0,0.0,7.665107688838536e-06,0.00074949707338037,0,4.4943496943534757e-10,READY
1782511290.1409411,3.8255564801008384,0,0.0,0.0005753925187527197,0.003966539559764234,9699.105817076892,3.477763372623559e-08,READY
1782511290.212414,4.018811565204446,0,0.0,0.001304409227623439,0.008806685757239354,7383.2654069451155,1.239066542010825e-07,READY
1782511290.28034,4.308613323709984,0,0.0,0.0035290108627343128,0.015216485333281758,5298.693142448384,3.5308022190849915e-07,READY
1782511290.3422332,4.60782876164564,0,0.0,0.008048033555032214,0.022904011269789644,4025.5309959411697,8.292895065581825e-07,READY
1782511290.409908,4.805081078197546,0,0.0,0.01102335770846655,0.03223920461719182,3624.781235577087,1.5424993523771326e-06,READY
1782511290.4804852,5.298289702600972,0,0.0,0.02432727255620145,0.04491391735415752,2784.1243424820595,3.1839146803968155e-06,READY
1782511290.5463722,5.5426174085724496,0,0.0,0.03169073687977471,0.05783646099686322,2549.229811395285,5.180039271374175e-06,READY
1782511290.607154,5.77412997189033,0,0.0,0.04084776154168227,0.07081113113135519,2342.414136780907,7.553743366052913e-06,READY
1782511290.6803331,6.036825302347459,0,0.0,0.04832928864621737,0.08733200969455229,2214.7071114806763,1.0934844435536e-05,READY
1782511290.748936,6.0449757606559755,0,0.0,0.04084412692204902,0.10197549116728527,2342.4836166345563,1.3613697125289719e-05,READY
1782511290.802467,5.773536245942032,0,0.0,0.035518697802292214,0.11288146313837705,2454.1480356713228,1.5431389894381038e-05,READY
1782511290.879958,5.503030960243392,0,0.0,0.02895219577951003,0.12762950181428478,2627.1967539343236,1.757628809410506e-05,READY
1782511290.94577,4.987820610491964,0,0.0,0.02436020900642027,0.1394538379589505,2782.8690093630244,1.910895878721543e-05,READY
1782511291.011169,4.209842522941221,0,0.0,0.02051931581626006,0.15055107461215744,2946.674348821452,2.039190419668634e-05,READY
1782511291.077556,3.325550332412887,0,0.0,0.017237984732809252,0.16118017719929723,3122.896593076171,2.1485958819245604e-05,READY
1782511291.147085,1.8968287442449205,0,0.0,0.014358818916944254,0.17165424464933016,3319.0479624015657,2.2440392868392913e-05,READY
1782511291.2141619,0.5115723933100542,0,0.0,0.012040160118522299,0.18118298858840695,3519.72727520321,2.3212495875343283e-05,READY
1782511291.271429,-1.153854699398473,0,0.0,0.010366097003524723,0.18892225772635227,3699.826382883758,2.37800337825821e-05,READY
1782511291.342633,-2.5728760225920118,0,0.0,0.008595535772025216,0.19796250015086347,3938.17898581905,2.436515627155099e-05,READY
1782511291.414928,-3.7215000148376625,0,0.0,0.007106393883084953,0.20657671127855862,4196.011560384643,2.4856290015883864e-05,READY
1782511291.477242,-4.394860020534627,0,0.0,0.006035871309535679,0.2136092317378582,4430.707808445691,2.5215892263608374e-05,READY
1782511291.5350559,-5.007053343108644,0,0.0,0.005189069182062293,0.21981265193878666,4659.6855933178185,2.5502689912091046e-05,FORWARD
1782511291.611247,-5.694318772890525,0,0.0,0.00424475791550983,0.22745893121625424,4982.364068107574,2.581188803822862e-05,FORWARD
1782511291.679519,-6.055729485199843,0,0.0,0.0035478354519774807,0.23391262976552368,5289.305008944118,2.604345098492241e-05,FORWARD
1782511291.737271,-6.228447786961997,0,0.0,0.0030505855590974794,0.23910392520244686,5562.354934363157,2.6211879633605095e-05,FORWARD
1782511291.803446,-6.0711890256632035,0,0.0,0.004441134049289139,0.24584581476384199,4907.8182792788,2.6492851153636206e-05,FORWARD
1782511291.877493,-5.672332962414517,0,0.0,0.010066541832673585,0.25575531285597414,3736.1674594719484,2.720546885460331e-05,FORWARD
1782511291.9409852,-4.930502905124472,0,0.0,0.039235808927418646,0.2691273381524099,2374.0629523249913,2.9587077194084458e-05,FORWARD
1782511292.0049658,-4.166755041638297,0,0.0,0.09716876944031706,0.2873583403199678,1754.7322858431032,3.553063407720662e-05,FORWARD
1782511292.0779011,-3.329863500840299,0,0.0,0.17865670056003888,0.3128183479036473,1432.341795496777,4.7987902248038854e-05,FORWARD
1782511292.1460638,-2.6431069775364584,0,0.0,0.27079775142810714,0.3401509900105056,1246.9185423588453,6.563458438282614e-05,FORWARD
1782511292.20681,-1.8602603325331284,0,0.0,0.4449433928525237,0.3688937873643216,1056.6995287807054,9.147405548439201e-05,FORWARD
1782511292.274504,-0.6524889705069589,0,0.0,0.7932078344269472,0.40773296844893325,871.480022855635,0.00014280896568117155,FORWARD
1782511292.33994,0.7473295403266474,0,0.0,1.4121609936453412,0.45323466920771693,719.0487969883723,0.00023115122795149746,FORWARD
1782511292.4070468,1.9873755127237178,0,0.0,2.0560620908093843,0.5061234097019288,634.4163386848253,0.0003630595272029127,FORWARD
1782511292.4742799,3.2342296234988175,0,0.0,2.8230905144181886,0.5650179289380162,570.792380211226,0.0005445175447016511,FORWARD
1782511292.546896,4.4171495046813245,0,0.0,3.467036865884822,0.6331359750953487,533.0078614605659,0.0007852045081872909,FORWARD
1782511292.60923,5.530451017933203,0,0.0,4.41672533127931,0.6965252471233141,491.68425783278735,0.001048413530056835,FORWARD
1782511292.674953,6.6017978384086575,0,0.0,5.24783364604437,0.7673136580571727,464.2227442588217,0.0013781499730534403,FORWARD
1782511292.742514,7.653740690311432,1,0.0,6.008203137539972,0.843436234152157,443.74986289926926,0.0017662061741174574,BACK
1782511292.803382,8.624731030272754,1,0.0,6.960992379663631,0.9154712142430776,422.50259594612317,0.0021712875641926085,BACK
1782511292.872969,9.465796777878603,1,0.0,7.254882418933942,0.9989654670898593,416.7186860757403,0.002653933048379844,BACK
1782511292.9423392,10.163357811023326,1,0.0,7.276101450092506,1.082279895021079,416.3132044518188,0.0031364776477971383,BACK
1782511293.0149708,10.552744887865877,1,0.0,6.642613233641051,1.1669035293476202,429.14768985110146,0.0035977269578396738,BACK
1782511293.082259,11.006522921009049,1,0.0,6.334230394363678,1.2440684966624103,436.0020010738714,0.004005201824288727,BACK
1782511293.146345,11.470232497675585,1,0.0,6.162301093694932,1.316889106029321,440.01970919366465,0.004382745903602599,BACK
1782511293.2126741,11.86598952507801,1,0.0,5.823277198680912,1.390822277067534,448.3982887801452,0.004751867159843561,BACK
1782511293.2791228,12.176493212084427,1,0.0,5.3730383860914115,1.4629852924205253,460.5885315740597,0.005093332042820133,BACK
1782511293.3470469,12.386688948356682,1,0.0,4.793624325315654,1.533969482805999,478.44472343563234,0.005404615262099354,BACK
