time,body_angle,stroke,spm,power,distance,pace,calories,state
1782511732.623041,3.21339398755764,0,0.0,0.0,0.0,0.0,0.0,READY
1782511732.673873,2.9011014259388324,0,0.0,0,0.0,0,0.0,READY
1782511732.739109,2.5615421628648334,0,0.0,0,0.0,0,0.0,READY
1782511732.805702,2.5536236192835133,0,0.0,0,0.0,0,0.0,READY
1782511732.874916,2.380612819808202,0,0.0,0,0.0,0,0.0,READY
1782511732.93852,2.3583518798310004,0,0.0,0,0.0,0,0.0,READY
1782511733.0057979,2.4037792313565105,0,0.0,4.756451258677074e-07,0.00032550417027157587,0,3.0593559066915746e-11,READY
1782511733.0725398,2.525314651889464,0,0.0,2.2969190652570554e-05,0.0015013541175775316,0,1.4961429006445082e-09,READY
1782511733.138399,2.626987029186495,0,0.0,8.93484345188987e-05,0.0033261490146311986,0,7.121586417677617e-09,READY
1782511733.206054,2.643563039831328,0,0.0,9.091893722789344e-05,0.005211767551812655,0,1.3002455141753254e-08,READY
1782511733.271735,2.7567433013168343,0,0.0,0.00024303285191252394,0.0077522687757705135,0,2.826337843944413e-08,READY
1782511733.337883,2.8834813954649254,0,0.0,0.0005328175659965605,0.011075946597588813,9950.851757007878,6.195764605659267e-08,READY
1782511733.4048378,3.0418207905330243,0,0.0,0.001118508298750023,0.015383660998709144,7771.533037528953,1.3355403547014934e-07,READY
1782511733.4713511,3.1576480805478915,0,0.0,0.0016464618682591557,0.020251414895550893,6831.811507352279,2.3824627176338228e-07,READY
1782511733.537631,3.135265290683175,0,0.0,0.0013835666653202333,0.024829019551778252,7239.686124622439,3.2591736478608153e-07,READY
1782511733.6045609,2.958130959340971,0,0.0,0.0011606072078045582,0.029188546484425974,7676.407363304503,4.00181812023776e-07,READY
1782511733.671131,2.643485227985729,0,0.0,0.0009745334554888303,0.03327908666552269,8136.8101582592535,4.622015476493763e-07,READY
1782511733.738246,2.265667643455234,0,0.0,0.0008170822496206818,0.03716797553323054,8629.080274441896,5.146284416272562e-07,READY
1782511733.8038578,1.7901411443641781,0,0.0,0.0006878544572496956,0.040757846487660454,9138.766531520809,5.577765028916614e-07,READY
